Name,n,a,e,i,pi,Mass
b,16152.03068148294,0.07,0.187,nan,81,11.6
c,4102.403996253513,0.178,0.05,nan,356.2,130
d,304.37804030576785,1.01,0.27,nan,187.2,167.4
