Name,Mass,n,a,e,i,omega_bar,Omega
Mercury,0.055285805,1493.707578,0.38709893,0.20563069,7.00487,77.45645,48.33167
Venus,0.815139135,584.7793546,0.72333199,0.00677323,3.39471,131.53298,76.68069
Earth,1.000167431,359.7480668,1.00000011,0.01671022,0.00005,102.94719,348.73936
Mars,0.10746576,191.2781899,1.52366231,0.09341233,1.85061,336.04084,49.57854
Jupiter,317.8850082,30.30905198,5.20336301,0.04839266,1.3053,14.75385,100.55615
Saturn,95.17797944,12.21451039,9.53707032,0.0541506,2.48446,92.43194,113.71504
Uranus,14.53839199,4.279008737,19.19126393,0.04716771,0.76986,170.96424,74.22988
Neptune,17.14998493,2.181829724,30.06896348,0.00858587,1.76917,44.97135,131.72169
Pluto,0.002126377,1.450123506,39.48168677,0.24880766,17.14175,224.06676,110.30347
