time,x,y,z
-1.0,0.05453019179117305,-0.23721062435069312,-1.9232977017798375e-17
-0.9979959919839679,0.07726686120097896,-0.23246581766756114,-2.0975695443718654e-17
-0.9959919839679359,0.09921441727189184,-0.22534472185075838,-2.2504058782121675e-17
-0.9939879759519038,0.12016368674250932,-0.21595496334616435,-2.38059081001351e-17
-0.9919839679358717,0.13991701462052364,-0.20441517767304546,-2.4870779599715305e-17
-0.9899799599198397,0.15828734273075337,-0.19085453021134624,-2.5689793329130342e-17
-0.9879759519038076,0.1750974398837035,-0.17541258525541165,-2.625557652122733e-17
-0.9859719438877755,0.1901793197077421,-0.15823948303055937,-2.6562222336080883e-17
-0.9839679358717435,0.20337388143374976,-0.13949639028785127,-2.660528507666146e-17
-0.9819639278557114,0.21453081119405626,-0.11935619394355648,-2.638181338227262e-17
-0.9799599198396793,0.22350878645575872,-0.09800440847304386,-2.5890423431377645e-17
-0.9779559118236473,0.230176033792721,-0.07564026534319543,-2.5131414715657514e-17
-0.9759519038076152,0.23441129938019387,-0.052477946528453084,-2.410693138888359e-17
-0.9739478957915831,0.23610530225910614,-0.02874791205798173,-2.282117241359397e-17
-0.9719438877755511,0.23516275103044548,-0.004698252882556847,-2.1280653546189687e-17
-0.969939879759519,0.23150501373296678,0.019404027052032785,-1.9494523353475657e-17
-0.9679358717434869,0.22507353532488827,0.04327193352092144,-1.747493357626243e-17
-0.9659318637274549,0.21583409311677687,0.06659779364859965,-1.5237460756299045e-17
-0.9639278557114228,0.20378196128144965,0.08905320382589782,-1.2801570496133932e-17
-0.9619238476953907,0.1889480122791831,0.1102899365361189,-1.0191107299914029e-17
-0.9599198396793587,0.1714057041870316,0.12994221092019184,-7.434780924670544e-18
-0.9579158316633266,0.1512787753130253,0.14763080950113408,-4.566604079545618e-18
-0.9559118236472945,0.12874927890130627,0.1629695750949332,-1.6262163485195211e-18
-0.9539078156312625,0.10406533558007491,0.1755748135554667,1.340993061474732e-18
-0.9519038076152304,0.07754766985106054,0.18507801265161397,4.284071958540753e-18
-0.9498997995991985,0.04959366847451732,0.19114201091594477,7.147121984234762e-18
-0.9478957915831663,0.020677433319031893,0.19348026800642476,9.87046088508069e-18
-0.9458917835671343,-0.00865577609292549,0.1918781947542898,1.2392410425540957e-17
-0.9438877755511023,-0.03780205425419993,0.1862146701206945,1.4651716519207286e-17
-0.9418837675350702,-0.0661189381181691,0.17648108649125321,1.6590496163677045e-17
-0.9398797595190381,-0.09295250296941437,0.16279480635048607,1.815747158689421e-17
-0.9378757515030061,-0.11766941602697947,0.14540408444307135,1.93111302015186e-17
-0.935871743486974,-0.1396905188326327,0.12468248481631933,2.0022384880626066e-17
-0.9338677354709419,-0.15852171635956971,0.10111250269071795,2.027634002713906e-17
-0.9318637274549099,-0.17377811554448902,0.07526006952820277,2.0072902825059445e-17
-0.9298597194388778,-0.18519852012014942,0.047743278078100915,1.942618343326387e-17
-0.9278557114228457,-0.19264920975617147,0.019199497512525004,1.8362840945501855e-17
-0.9258517034068137,-0.19611783093525437,-0.009745136605275498,1.691969030222451e-17
-0.9238476953907816,-0.19569966087038143,-0.03850088754025967,1.5140951909702693e-17
-0.9218436873747495,-0.19157918529453982,-0.0665326793155575,1.3075500914402616e-17
-0.9198396793587175,-0.1840098758405016,-0.09337125221624584,1.0774386082654988e-17
-0.9178356713426854,-0.17329449476801598,-0.11861800690440916,8.288777971013463e-18
-0.9158316633266533,-0.15976748557440976,-0.14194487455814114,5.668404548249626e-18
-0.9138276553106213,-0.14378026274267156,-0.1630906939525737,2.960457197754278e-18
-0.9118236472945892,-0.1256896252175883,-0.1818554507524059,2.0890507994855247e-19
-0.9098196392785571,-0.10584912587805342,-0.19809347315269316,-2.545863380073721e-18
-0.9078156312625251,-0.08460301392520218,-0.21170638266528766,-5.267154456399748e-18
-0.905811623246493,-0.06228228398886028,-0.22263632981830817,-7.921912243436696e-18
-0.9038076152304609,-0.03920236755626387,-0.23085982862817947,-1.0480551404295636e-17
-0.9018036072144289,-0.015662050328001734,-0.23638234577134942,-1.2916726166558096e-17
-0.8997995991983968,0.008056733778797232,-0.23923369379362913,-1.520706973841473e-17
-0.8977955911823647,0.031688511671686,-0.2394642115399777,-1.733092809880458e-17
-0.8957915831663327,0.05498349966566905,-0.23714167816443402,-1.9270104242979714e-17
-0.8937875751503006,0.0777066150745042,-0.2323488901449534,-2.1008623204620172e-17
-0.8917835671342685,0.09963639220885323,-0.22518182641753118,-2.2532524158530128e-17
-0.8897795591182365,0.12056389223359863,-0.21574832988172837,-2.3829683245685702e-17
-0.8877755511022044,0.14029167355875466,-0.2041672403968145,-2.4889669144551626e-17
-0.8857715430861723,0.15863287322718164,-0.19056792307352818,-2.5703632491164724e-17
-0.8837675350701403,0.17541044066217915,-0.17509014394436553,-2.6264229939261784e-17
-0.8817635270541082,0.1904565597741512,-0.15788425285087504,-2.656558364246307e-17
-0.8797595190380761,0.20361229473462872,-0.13911163926876305,-2.6603277235028992e-17
-0.8777555110220441,0.2147274970633649,-0.11894543059061406,-2.6374389826425144e-17
-0.875751503006012,0.22366101678199915,-0.09757140357148253,-2.5877570052713292e-17
-0.87374749498998,0.23028126802060905,-0.0751890771291628,-2.51131527569988e-17
-0.8717434869739479,0.23446720866819576,-0.052012948366078116,-2.4083321309893036e-17
-0.8697394789579158,0.23610980434232343,-0.02827382144638574,-2.2792318793936885e-17
-0.8677354709418837,0.23511405755104667,-0.004220160149831648,-2.1246711082793062e-17
