Name,n,a,e,i,pi,Mass
b,31174.377224199292,0.050201,0.12,nan,105,5.1
c,3455.984850477368,0.2175,0.14,nan,341,18.2
d,1068.2058369238273,0.476,0.35,nan,314,22.9
