time,x,y,z
-1.0,-0.31709163642009247,-0.016977928040924045,2.4548226482219806e-18
-0.9979959919839679,-0.317893613996594,-0.042013189550568555,2.3239380575143182e-18
-0.9959919839679359,-0.3172444078013428,-0.0668573215616702,2.1824431815374272e-18
-0.9939879759519038,-0.31519395794682503,-0.09140686887214007,2.031306691508528e-18
-0.9919839679358717,-0.31180106372436134,-0.11556787170672063,1.8715163461396208e-18
-0.9899799599198397,-0.30713145855651275,-0.13925647287656956,1.7040601954334267e-18
-0.9879759519038076,-0.3012559521779179,-0.16239914449258797,1.5299104114965931e-18
-0.9859719438877755,-0.29424870965845673,-0.18493259058904626,1.3500099965142593e-18
-0.9839679358717435,-0.28618571414680327,-0.2068033899193501,1.16526239200363e-18
-0.9819639278557114,-0.2771434392726356,-0.22796744410312236,9.765238401994014e-19
-0.9799599198396793,-0.2671977395710917,-0.24838929206534816,7.845982304767102e-19
-0.9779559118236473,-0.25642295379281616,-0.26804134415746,5.902340966750199e-19
-0.9759519038076152,-0.24489120635109013,-0.2869030804780498,3.9412340263164975e-19
-0.9739478957915831,-0.23267188670319336,-0.3049602477329887,1.969017652444769e-19
-0.9719438877755511,-0.21983128298698906,-0.3222040811392666,-8.502205641271288e-22
-0.969939879759519,-0.20643234611976544,-0.3386305690073975,-1.9860484287098712e-19
-0.9679358717434869,-0.19253456117336817,-0.3542397716416698,-3.9588456988765106e-19
-0.9659318637274549,-0.17819390481504113,-0.36903520080125585,-5.922589878598677e-19
-0.9639278557114228,-0.16346287000343665,-0.38302326201415265,-7.873415434276261e-19
-0.9619238476953907,-0.14839054173881394,-0.39621275914801846,-9.807862173352804e-19
-0.9599198396793587,-0.1330227102477046,-0.40861445865464985,-1.1722842247417547e-18
-0.9579158316633266,-0.11740201039385972,-0.420240709633406,-1.3615608110319692e-18
-0.9559118236472945,-0.10156807827130242,-0.4311051151352606,-1.5483721906752736e-18
-0.9539078156312625,-0.08555771781908067,-0.4412222498094779,-1.7325026597889297e-18
-0.9519038076152304,-0.0694050718977451,-0.45060741896167666,-1.913761900024358e-18
-0.9498997995991985,-0.05314179360043243,-0.45927645425228975,-2.091982481564702e-18
-0.9478957915831663,-0.03679721466239802,-0.46724554154739356,-2.2670175658099093e-18
-0.9458917835671343,-0.02039850871190213,-0.4745310767870618,-2.4387388032002093e-18
-0.9438877755511023,-0.003970847803690919,-0.48114954612207744,-2.607034418134519e-18
-0.9418837675350702,0.012462448777010998,-0.48711742696190996,-2.7718074706987096e-18
-0.9398797595190381,0.028879774030211053,-0.4924511069580068,-2.9329742836205603e-18
-0.9378757515030061,0.045261101346529026,-0.4971668183057721,-3.0904630222661015e-18
