Name,n,a,e,i,pi,Mass
b,124.3493896091606,2.075,0.014,nan,114.6,200.0
c,612.1022965481903,0.7181,0.0360,nan,149.0,53.5
d,1114.7874777297022,0.4817,0.027,nan,246.4,30.7
e,2672.0894763599385,0.2687,0.0900,nan,303.7,16.8
f,194.14893617021278,1.543,0.031,nan,212.0,37.9
g,23.052631578947366,6.36,0.0320,nan,234.9,120.6
