Name,n,a,e,i,pi,Mass
b,12752.45295,0.091,0.045,0,71.46,1.9
c,10088.98887,0.107,0.026,0,96.43,2.9
d,5792.501488,0.155,0.004,0,102.52,7.3
e,4106.301329,0.195,0.012,0,204.69,8
f,2814.379466,0.25,0.013,0,8.58,2
g,1109.978231,0.466,0.15,0,97,25
