Name,n,a,e,i,pi,Mass
b,19688.770583118752,0.0692,0.14270,nan,159.32,1233
c,889.4605022676504,0.545,0.164,nan,329.0,407
d,138.0252100840336,1.89,0.173,nan,286,181
