,a,e,time
0,0.07,0.0,8.101101749837978
1,0.1265,0.0,100000.0
2,0.183,0.0,8044.3940375891125
3,0.2395,0.0,100000.0
4,0.296,0.0,100000.0
5,0.3525,0.0,100000.0
6,0.409,0.0,100000.0
7,0.46549999999999997,0.0,100000.0
8,0.522,0.0,100000.0
9,0.5785,0.0,1685.0291639662994
10,0.635,0.0,477.9650032404407
11,0.6915,0.0,866.8178872326637
12,0.748,0.0,80492.54698639015
13,0.8045,0.0,100000.0
14,0.861,0.0,100000.0
15,0.9175,0.0,100000.0
16,0.974,0.0,100000.0
17,1.0305,0.0,100000.0
18,1.087,0.0,100000.0
19,1.1435,0.0,100000.0
20,1.2,0.0,100000.0
21,0.07,0.010526315789473684,3183.7329876863255
22,0.1265,0.010526315789473684,100000.0
23,0.183,0.010526315789473684,1255.6707712248867
24,0.2395,0.010526315789473684,100000.0
25,0.296,0.010526315789473684,100000.0
26,0.3525,0.010526315789473684,100000.0
27,0.409,0.010526315789473684,100000.0
28,0.46549999999999997,0.010526315789473684,100000.0
29,0.522,0.010526315789473684,100000.0
30,0.5785,0.010526315789473684,1239.4685677252107
31,0.635,0.010526315789473684,137.71872974724562
32,0.6915,0.010526315789473684,567.0771224886585
33,0.748,0.010526315789473684,100000.0
34,0.8045,0.010526315789473684,100000.0
35,0.861,0.010526315789473684,100000.0
36,0.9175,0.010526315789473684,100000.0
37,0.974,0.010526315789473684,100000.0
38,1.0305,0.010526315789473684,100000.0
39,1.087,0.010526315789473684,100000.0
40,1.1435,0.010526315789473684,100000.0
41,1.2,0.010526315789473684,100000.0
42,0.07,0.021052631578947368,8.101101749837978
43,0.1265,0.021052631578947368,100000.0
44,0.183,0.021052631578947368,4228.775113415425
45,0.2395,0.021052631578947368,33951.717433570964
46,0.296,0.021052631578947368,100000.0
47,0.3525,0.021052631578947368,100000.0
48,0.409,0.021052631578947368,100000.0
49,0.46549999999999997,0.021052631578947368,100000.0
50,0.522,0.021052631578947368,100000.0
51,0.5785,0.021052631578947368,24.303305249513933
52,0.635,0.021052631578947368,931.6267012313675
53,0.6915,0.021052631578947368,1612.1192482177578
54,0.748,0.021052631578947368,100000.0
55,0.8045,0.021052631578947368,100000.0
56,0.861,0.021052631578947368,100000.0
57,0.9175,0.021052631578947368,100000.0
58,0.974,0.021052631578947368,100000.0
59,1.0305,0.021052631578947368,100000.0
60,1.087,0.021052631578947368,100000.0
61,1.1435,0.021052631578947368,100000.0
62,1.2,0.021052631578947368,100000.0
63,0.07,0.031578947368421054,2576.150356448477
64,0.1265,0.031578947368421054,100000.0
65,0.183,0.031578947368421054,16672.067401166558
66,0.2395,0.031578947368421054,100000.0
67,0.296,0.031578947368421054,100000.0
68,0.3525,0.031578947368421054,100000.0
69,0.409,0.031578947368421054,100000.0
70,0.46549999999999997,0.031578947368421054,100000.0
71,0.522,0.031578947368421054,100000.0
72,0.5785,0.031578947368421054,162.02203499675957
73,0.635,0.031578947368421054,4147.764095917045
74,0.6915,0.031578947368421054,332.1451717433571
75,0.748,0.031578947368421054,80614.06351263772
76,0.8045,0.031578947368421054,100000.0
77,0.861,0.031578947368421054,100000.0
78,0.9175,0.031578947368421054,100000.0
79,0.974,0.031578947368421054,100000.0
80,1.0305,0.031578947368421054,100000.0
81,1.087,0.031578947368421054,100000.0
82,1.1435,0.031578947368421054,100000.0
83,1.2,0.031578947368421054,100000.0
84,0.07,0.042105263157894736,486.0661049902787
85,0.1265,0.042105263157894736,100000.0
86,0.183,0.042105263157894736,1336.6817887232664
87,0.2395,0.042105263157894736,30111.795204147766
88,0.296,0.042105263157894736,100000.0
89,0.3525,0.042105263157894736,100000.0
90,0.409,0.042105263157894736,100000.0
91,0.46549999999999997,0.042105263157894736,100000.0
92,0.522,0.042105263157894736,100000.0
93,0.5785,0.042105263157894736,4974.076474400518
94,0.635,0.042105263157894736,89.11211924821777
95,0.6915,0.042105263157894736,1944.2644199611148
96,0.748,0.042105263157894736,100000.0
97,0.8045,0.042105263157894736,100000.0
98,0.861,0.042105263157894736,100000.0
99,0.9175,0.042105263157894736,100000.0
100,0.974,0.042105263157894736,100000.0
101,1.0305,0.042105263157894736,100000.0
102,1.087,0.042105263157894736,100000.0
103,1.1435,0.042105263157894736,100000.0
104,1.2,0.042105263157894736,100000.0
105,0.07,0.05263157894736842,2705.767984445885
106,0.1265,0.05263157894736842,100000.0
107,0.183,0.05263157894736842,4496.111471160078
108,0.2395,0.05263157894736842,100000.0
109,0.296,0.05263157894736842,100000.0
110,0.3525,0.05263157894736842,100000.0
111,0.409,0.05263157894736842,100000.0
112,0.46549999999999997,0.05263157894736842,100000.0
113,0.522,0.05263157894736842,100000.0
114,0.5785,0.05263157894736842,696.6947504860661
115,0.635,0.05263157894736842,510.3694102397926
116,0.6915,0.05263157894736842,583.2793259883344
117,0.748,0.05263157894736842,6537.589112119248
118,0.8045,0.05263157894736842,100000.0
119,0.861,0.05263157894736842,100000.0
120,0.9175,0.05263157894736842,100000.0
121,0.974,0.05263157894736842,100000.0
122,1.0305,0.05263157894736842,100000.0
123,1.087,0.05263157894736842,100000.0
124,1.1435,0.05263157894736842,100000.0
125,1.2,0.05263157894736842,100000.0
126,0.07,0.06315789473684211,10814.9708360337
127,0.1265,0.06315789473684211,100000.0
128,0.183,0.06315789473684211,14719.701879455606
129,0.2395,0.06315789473684211,100000.0
130,0.296,0.06315789473684211,100000.0
131,0.3525,0.06315789473684211,100000.0
132,0.409,0.06315789473684211,100000.0
133,0.46549999999999997,0.06315789473684211,100000.0
