Name,n,a,e,i,pi,Mass
b,42484.04262,0.03876,0,85.05,0,4.74
c,19424.70929,0.0653,0.062,87.28,70,4.36
d,2804.157152,0.237,0.138,nan,173,16.17
f,5784.214465,0.1463,0.148,nan,81,7.3
g,1394.904459,0.3753,0,nan,0,11
h,58.47797063,3.11,0.06,nan,215,108
