Name,n,a,e,i,pi,Mass
b,2149.9887101049467,0.208317,0.0324,59,50.3,635.63
c,4367.175062566264,0.129590,0.25591,59,48.76,177.98
d,67809.55526427148,0.02080665,0.207,59,234,6.025
e,1057.4601641718975,0.3343,0.055,59,239,14.6
