Name,n,a,e,i,pi,Mass
b,4.617033,0.05922166,0.02150,nan,324.9,218.531
c,241.258,0.827774,0.2596,nan,241.7,629.595
d,1276.46,2.51329,0.2987,nan,258.82,1313.22
