Name,n,a,e,i,pi,Mass
b,14.65152,0.11522725,0.0034,90,98,264.135857143
c,44.4175,0.241376,0.020,90,51,56.89775
d,4825,5.503,0.019,90,44,1168.27116667
e,0.736539,0.01544,0.0945,83.3,156.53,9.75623333333
f,262.00,0.7880,0.305,90,166,48.414
