Name,n,a,e,i,pi,Mass
b,15222.74560868971,0.06070,0.0730,nan,70.70,10.6
c,5126.688510365354,0.1254,0.0990,nan,227.00,6.8
d,217.5672615646603,1.0304,0.373,nan,118.3,29.4
