Name,n,a,e,i,pi,Mass
b,8968.352772,0.11522725,0.0034,0,98,263.9785
c,2958.293465,0.241376,0.02,0,51,54.4738
d,27.23316062,5.503,0.019,0,44,1232.493
e,178401.9583,0.01544,0.0945,0,156.53,8.08
f,501.5267176,0.788,0.305,0,166,44.812
