Name,n,a,e,i,pi,Mass
b,204.2751651768364,1.497,0.128,nan,22.0,343.24
c,31.242569784583193,5.235,0.0985,nan,57.6,576.519
d,13632.685244745087,0.09094,0.172,nan,212.7,10.5547
e,423.1202704878441,0.9210,0.0666,nan,189.6,165.8685
