Name,n,a,e,i,pi,Mass
b,107702.26961632092,0.0197,0.19,nan,nan,1.78
c,21995.313023100098,0.057,0.11,nan,nan,4.18
d,509.6974398758728,0.698,0.32,nan,nan,10.5
