Name,n,a,e,i,pi,Mass
b,26888.211340522623,0.0375,0.15,nan,nan,1.91
c,7352.324039413828,0.0890,0.11,nan,37.0,3.41
d,604.9445237327931,0.470,0.55,nan,102.0,7.70
