Name,n,a,e,i,pi,Mass
b,2910.0411923639103,0.2514,0.04,nan,nan,2.1
c,1540.2288072018005,0.384,0.014,nan,nan,4.0
d,1009.2630996820131,0.509,0.008,nan,nan,7.6
