Name,n,a,e,i,pi,Mass
b,1391.3595933926301,0.415,0.04,nan,-90,143
c,650.5272538244467,0.689,0.048,nan,-140,423
d,122.82669657879978,2.09,0.074,nan,-140,375
e,26.279999999999998,5.0,0.26,nan,-10,210
