Name,n,a,e,i,pi,Mass
b,30470.978364213992,0.0468,0.20,nan,194.8,4.0
c,13661.315811361557,0.0799,0.06,nan,234.9,6.6
d,6431.088488645262,0.1321,0.07,nan,17.2,9.5
f,2538.6398763523957,0.247,0.02,nan,355.2,5.2
g,664.3073811931243,0.600,0.29,nan,91.7,7.1
