Name,Mass,n,a,e,i,pi,Omega,l,k,Q,r
Mercury,0.055285805,1493.707578,0.38709893,0.20563069,7.00487,77.45645,48.33167,252.25084,0.184,190,2440000
Venus,0.815139135,584.7793546,0.72333199,0.00677323,3.39471,131.53298,76.68069,181.97973,0.411,17,6052000
Earth,1.000167431,359.7480668,1.00000011,0.01671022,0.00005,102.94719,348.73936,100.46435,0.29,13,6378000
Mars,0.10746576,191.2781899,1.52366231,0.09341233,1.85061,336.04084,49.57854,355.45332,0.447,26,3394000
Jupiter,317.8850082,30.30905198,5.20336301,0.04839266,1.3053,14.75385,100.55615,34.40438,0.379,25000,71398000
Saturn,95.17797944,12.21451039,9.53707032,0.0541506,2.48446,92.43194,113.71504,49.94432,0.341,14000,60330000
Uranus,14.53839199,4.279008737,19.19126393,0.04716771,0.76986,170.96424,74.22988,313.23218,0.104,5000,26200000
Neptune,17.14998493,2.181829724,30.06896348,0.00858587,1.76917,44.97135,131.72169,304.88003,0.127,Inf,25225000
Pluto,0.002126377,1.450123506,39.48168677,0.24880766,17.14175,224.06676,110.30347,238.92881,0,Inf,1137000
