Name,Mass,n,a,e,i,pi,Omega,l,k,Q,r
Jupiter,317.8850082,30.30905198,5.20336301,0.04839266,1.3053,14.75385,100.55615,34.40438,0.379,25000,71398000
Saturn,95.17797944,12.21451039,9.53707032,0.0541506,2.48446,92.43194,113.71504,49.94432,0.341,14000,60330000
