Name,Mass,n,a,e,i,pi,Omega,l,k,Q,r
Earth,1.000167431,359.7480668,1.00000011,0.01671022,0.00005,102.94719,348.73936,100.46435,0.29,13,6378000
Mars,0.10746576,191.2781899,1.52366231,0.09341233,1.85061,336.04084,49.57854,355.45332,0.447,26,3394000
