Name,Mass,n,a,e,i,pi,Omega,l,k,Q,r
Venus,0.815139135,584.7793546,0.72333199,0.00677323,3.39471,131.53298,76.68069,181.97973,0.411,17,6052000
Earth,1.000167431,359.7480668,1.00000011,0.01671022,0.00005,102.94719,348.73936,100.46435,0.29,13,6378000
Mars,0.10746576,191.2781899,1.52366231,0.09341233,1.85061,336.04084,49.57854,355.45332,0.447,26,3394000
