Name,n,a,e,i,pi,Mass
b,4479.3917299656305,0.18,0.042,90.179,-31,11.3
c,2178.2698354138106,0.30,0.0111,90.3227,-49,640
d,916.676351996464,0.5,0.022,89.8406,-163,23.1
