time,x,y,z
-3.0,-0.20223046649108864,-2.461827080560677e-12,0.1572477636379116
-2.996031746031746,-0.22981828414317534,-1.5488127322808354e-12,0.11331424422669174
-2.992063492063492,-0.24845110271343757,-5.754212053172156e-13,0.06496396734576375
-2.988095238095238,-0.25746675669096253,4.203068972890905e-13,0.014095741073259019
-2.984126984126984,-0.256635858083922,1.4000542679180626e-12,-0.03731645637522407
-2.9801587301587302,-0.24615514366641456,2.3272787627709984e-12,-0.08733183717961496
-2.9761904761904763,-0.22661139493686816,3.168963575191493e-12,-0.13413949511006082
-2.9722222222222223,-0.19892357361826565,3.896934700430562e-12,-0.17613549637815598
-2.9682539682539684,-0.16427239101203608,4.488698455925905e-12,-0.2119766044899076
-2.9642857142857144,-0.124026099874366,4.927825274081467e-12,-0.24061077939280723
-2.9603174603174605,-0.07966948843946704,5.203955719061897e-12,-0.26128744877191074
-2.9563492063492065,-0.03274065609174889,5.312527635653246e-12,-0.2735520878023395
-2.9523809523809526,0.015222180689731926,5.25432397820255e-12,-0.27723000400141856
-2.9484126984126986,0.06272347203099261,5.0349270742157966e-12,-0.2724037636561362
-2.9444444444444446,0.10834360035991907,4.664144559116903e-12,-0.2593878004742516
-2.9404761904761907,0.15076423448804593,4.155450693034402e-12,-0.2387027202305582
-2.9365079365079367,0.18878766094824906,3.5254675746929065e-12,-0.2110508497733786
-2.9325396825396823,0.22135197174176668,2.793495239486905e-12,-0.17729376440926128
-2.9285714285714284,0.24754380367886789,1.981087829900762e-12,-0.13843188414378801
-2.9246031746031744,0.26661004729916754,1.1116643699505986e-12,-0.09558573716891625
-2.9206349206349205,0.2779696174341728,2.101363934787327e-13,-0.049978114394597054
-2.9166666666666665,0.28122601719593093,-6.974698859899949e-13,-0.0029160494504280876
-2.9126984126984126,0.27618102503228636,-1.5844223846702698e-12,0.044228665791381766
-2.9087301587301586,0.26284936973682055,-2.423750279882351e-12,0.09004188067044325
-2.9047619047619047,0.24147370660241285,-3.188796732346062e-12,0.13309392416891386
-2.9007936507936507,0.2125385537240529,-3.853881476058782e-12,0.17197234137893863
-2.8968253968253967,0.17678110102396924,-4.3950901478458715e-12,0.20532170405630393
-2.892857142857143,0.13519602419943086,-4.791193661291131e-12,0.23189107039740914
-2.888888888888889,0.08903075037012945,-5.024679719091164e-12,0.25058865477869524
-2.884920634920635,0.03976724994382151,-5.082849343302325e-12,0.26054179083537954
-2.880952380952381,-0.010913339694579166,-4.958896181847684e-12,0.2611584000522397
-2.876984126984127,-0.06118581252497805,-4.652850960917941e-12,0.2521841653016008
-2.873015873015873,-0.10915602273499207,-4.172247493330751e-12,0.23374793478122602
-2.869047619047619,-0.15295309415685934,-3.5323623652596287e-12,0.2063872004388291
-2.865079365079365,-0.19083200158952004,-2.7559085908587666e-12,0.1710464426386597
-2.861111111111111,-0.2212764944216378,-1.872127676114985e-12,0.12904402591511863
-2.857142857142857,-0.24309056811343327,-9.153159608388356e-13,0.08200786998031567
-2.8531746031746033,-0.25546732994744403,7.708148769430784e-14,0.03178530973009151
-2.8492063492063493,-0.25802728090418753,1.0666002750812988e-12,-0.019663023932617568
-2.8452380952380953,-0.2508229835618986,2.0158684614860816e-12,-0.07037311409986265
-2.8412698412698414,-0.23431242023461085,2.8904799710198105e-12,-0.11847937780730305
-2.8373015873015874,-0.20930763460828267,3.660471116555538e-12,-0.1622991723654864
-2.8333333333333335,-0.17690757765787934,4.30132422588152e-12,-0.2003947574269692
-2.8293650793650795,-0.1384242909625357,4.794501430726806e-12,-0.23161159245617693
-2.8253968253968256,-0.0953101397310614,5.1275704643951415e-12,-0.25509512619856944
-2.8214285714285716,-0.04909152580346007,5.294016326336211e-12,-0.2702902307810894
-2.8174603174603177,-0.0013120967860048016,5.292840215346131e-12,-0.27692816651668656
-2.8134920634920633,0.046513588076586634,5.128037391193544e-12,-0.27500574166329794
-2.8095238095238093,0.09293645625416211,4.8080266588767746e-12,-0.26476054616592
-2.8055555555555554,0.13660080055515558,4.345082488875117e-12,-0.24664512879377504
-2.8015873015873014,0.17626546977581134,3.7548005444113566e-12,-0.22130198556511993
-2.7976190476190474,0.21082027929064215,3.055610530148147e-12,-0.18954035548696316
-2.7936507936507935,0.23929941451156225,2.2683372325237307e-12,-0.1523151177656582
-2.7896825396825395,0.26089334824118526,1.4158009642808575e-12,-0.11070754368690353
-2.7857142857142856,0.27496048075263635,5.224416082478727e-13,-0.06590724518050325
-2.7817460317460316,0.28103936284670217,-3.86054640785709e-13,-0.0191943463902981
-2.7777777777777777,0.27886197626757014,-1.2831503932902831e-12,0.028079340951420312
-2.7738095238095237,0.26836810552841756,-2.1419009295362453e-12,0.07451154133122943
-2.7698412698412698,0.24972031610002937,-2.935474368357952e-12,0.1186746492260537
-2.765873015873016,0.2233184358200749,-3.637773859132351e-12,0.15914627406313828
-2.761904761904762,0.1898117183519819,-4.224181827679338e-12,0.19454650045704872
-2.757936507936508,0.15010608856884156,-4.672435065661892e-12,0.22358268849415988
-2.753968253968254,0.10536313161665331,-4.963621009783258e-12,0.24510177671548655
-2.75,0.0569869774428704,-5.08325902500071e-12,0.2581487328407181
-2.746031746031746,0.006595219239993025,-5.02239700150308e-12,0.2620280449848502
-2.742063492063492,-0.044029200797874826,-4.778617384805943e-12,0.25636313986754383
-2.738095238095238,-0.09300634927444351,-4.356816231024538e-12,0.24114675602090152
-2.734126984126984,-0.13844617182156363,-3.769605700030288e-12,0.21677419746352045
-2.7301587301587302,-0.17854847196806925,-3.037206447212166e-12,0.1840517185469416
