Name,n,a,e,i,pi,Mass
c,22813.727822157096,0.06412,0.0730,90.0,328,13.2
d,8033.257932383689,0.12859,0.131,90.0,325,12.0
e,2641.312213556324,0.2699,0.051,90.0,147,25.6
f,1070.5207586521542,0.4929,0.119,90.0,327,22.9
g,217.30861461623698,1.427,0.263,90.0,327,23.3
h,59.59183673469389,3.381,0.0950,90.0,142,65.66
