Name,n,a,e,i,pi,Mass
b,18248.986167435145,0.0505,0.13,nan,5.7,5.6
c,4669.509594882729,0.125,0.02,nan,292.2,3.8
e,2111.1825192802053,0.213,0.02,nan,28.6,2.7
f,3366.986111822887,0.156,0.03,nan,103.1,2.7
g,512.8805620608899,0.549,0.08,nan,51.6,4.6
