Name,n,a,e,i,pi,Mass
b,9744.521488,0.117,0.015,0,nan,10.9
c,4795.112926,0.187,0.03,0,nan,5.9
d,2522.547427,0.287,0.025,0,nan,6
e,1620.903487,0.386,0.012,0,nan,4.1
